"term","estimate.100","std.error.100","p.value.100","estimate.250","std.error.250","statistic.250b","p.value.250","component.250b","estimate.250b","std.error.250b","p.value.250b","estimate.500","std.error.500","statistic.500","p.value.500","estimate.1000","std.error.1000","p.value.1000","estimate.2000","std.error.2000","p.value.2000","component"
"intercept",4.37681650713825,0.0712137645328095,0,4.34490128410807,0.0694321214770957,62.5776829466656,0,"cond",4.36947344756696,0.0711230729589163,0,4.4740775619608,0.0872247727685014,51.2936568357158,0,4.50656822019754,0.0874828348834315,0,4.56136823238736,0.0907527230558291,0,"cond"
"imp",-0.134863249770206,0.0724868837123971,0.0628120833921864,-0.313727742196144,0.0869909552207982,-3.60644093859928,0.000310425472718372,"cond",-0.164518756077081,0.0738657910556618,0.0259295094857262,-0.175217536189235,0.0713740229279689,-2.45492027773278,0.014091583551901,-0.078686077072433,0.0695743206088261,0.258070091871899,0.0713056841072339,0.0845169421009811,0.398845400102425,"cond"
"intercept_2",-1.64175608878819,0.180247644319177,8.36552136184226e-20,-1.63228530843216,0.178238221228756,-9.15788598640265,5.29238899775826e-20,"zi",-1.64259243187693,0.180412800428662,8.65581631542706e-20,-1.76849182067308,0.204243859353551,-8.65872700540672,4.77061810404493e-18,-1.71928388991849,0.194541963041577,9.77974255481376e-19,-1.63995402703518,0.179669249850893,7.00166759484577e-20,"zi"
"arable",NA,NA,NA,-0.231839825257939,0.0777841122237348,-2.98055500834264,0.00287726557008794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cond"
"forest",NA,NA,NA,-0.187774351193787,0.0812571208148357,-2.31086641159335,0.0208402348375852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cond"
"i_imp_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.138263523909793,0.0623283789813483,-2.21830771423027,0.0265338585564654,-0.154286728769178,0.0649097713017463,0.0174568567335193,-0.204381505560297,0.0592408027281894,0.000560560750053544,"cond"
