;imp100;;;imp250;;;imp500;;;imp1000;;;imp2000;;
Predictors;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p;Log-Mean;CI;p
(Intercept);0.72;0.63 – 0.81;<0.001;0.72;0.63 – 0.82;<0.001;0.72;0.63 – 0.81;<0.001;0.84;0.72 – 0.96;<0.001;0.83;0.72 – 0.94;<0.001
imp;-0.13;-0.23 – -0.04;0.004;-0.12;-0.21 – -0.03;0.011;-0.13;-0.23 – -0.04;0.007;;;;;;
mean_annual_temp_celsius;0.11;-0.00 – 0.22;0.052;0.07;-0.02 – 0.17;0.119;0.08;-0.01 – 0.17;0.101;;;;;;
annual_precipitation_mm;-0.14;-0.25 – -0.02;0.018;-0.08;-0.18 – 0.01;0.093;-0.08;-0.18 – 0.01;0.098;;;;;;
altitude_town_m;0.10;-0.03 – 0.24;0.133;;;;;;;;;;;;
imp^2;;;;;;;;;;-0.11;-0.20 – -0.03;0.010;-0.11;-0.19 – -0.03;0.008
Observations;259;;;259;;;259;;;259;;;259;;
R2 Nagelkerke;0.078;;;0.059;;;0.063;;;0.040;;;0.043;;
