"term","estimate.100","std.error.100","p.value.100","estimate.250","std.error.250","p.value.250","estimate.500","std.error.500","p.value.500","estimate.1000","std.error.1000","p.value.1000","estimate.2000","std.error.2000","p.value.2000","component"
"intercept",4.46470933614061,0.0883980755930519,0,4.40468611771258,0.0750720638723138,0,4.54913606927521,0.0893316974892141,0,4.57696498978584,0.0895441478072008,0,4.59484155464129,0.089170028956135,0,"cond"
"imp",-0.222958505693157,0.0765068675888517,0.00356568636649964,-0.398351902391536,0.0960608998417588,3.37053777633449e-05,-0.174056813234005,0.0722598550192815,0.0160067202170887,-0.0806750571545283,0.0707854266218234,0.254405970469905,0.0126350434114123,0.0773443614376706,0.870234297582597,"cond"
"i_imp_2",-0.0509093214118782,0.0598936169914582,0.395327435039296,NA,NA,NA,-0.153830934358939,0.0629147118257373,0.0144823647688831,-0.164562047667772,0.065187074929465,0.0115876775342587,-0.172565458860866,0.0632698678018193,0.00638257527026699,"cond"
"len",NA,NA,NA,-0.272517090820946,0.0999948372183287,0.00642408255572509,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cond"
"class_nr",NA,NA,NA,0.157942040872305,0.0802719733763281,0.0491156490313969,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cond"
"forest",NA,NA,NA,-0.112295031669657,0.0695609198827257,0.106453522989412,NA,NA,NA,NA,NA,NA,NA,NA,NA,"cond"
"intercept_2",-1.75949783450557,0.205686488093174,1.18616574709777e-17,-1.74776482242543,0.199559072458534,1.98511526835886e-18,-1.81649377879145,0.210641365034136,6.48628924150262e-18,-1.76127821965315,0.200071491768633,1.32916794002484e-18,-1.72671674468407,0.191471881679946,1.91341567157477e-19,"zi"
